"segment_filename","basefile","black_flag","age","female_flag","source","duration","wordcount","clean_google_wer","clean_ibm_wer","clean_amazon_wer","clean_msft_wer","clean_apple_wer"
"HUM_5_26","HUM_5",0,70,0,"HUM",25.376,64,0.0625,0.09375,0.09375,0.0625,0.078125
"HUM_5_31","HUM_5",0,70,0,"HUM",8.92799999999988,19,0.421052632,0.263157895,0.263157895,0.210526316,0.421052632
"HUM_5_38","HUM_5",0,70,0,"HUM",13.7309999999998,41,0.12195122,0.146341463,0.048780488,0.12195122,0.097560976
"HUM_5_60","HUM_5",0,70,0,"HUM",10.9990000000003,21,0.19047619,0.333333333,0.142857143,0,0.285714286
"HUM_5_62","HUM_5",0,70,0,"HUM",23.703,59,0.271186441,0.254237288,0.271186441,0.220338983,0.305084746
"HUM_5_65","HUM_5",0,70,0,"HUM",31.2509999999998,87,0.103448276,0.114942529,0.068965517,0.08045977,0.103448276
"HUM_5_67","HUM_5",0,70,0,"HUM",27.3270000000002,69,0.115942029,0.101449275,0.144927536,0.130434783,0.130434783
"HUM_5_70","HUM_5",0,70,0,"HUM",8.11400000000049,28,0.107142857,0.142857143,0.071428571,0,0.107142857
"HUM_5_77","HUM_5",0,70,0,"HUM",19.5930000000008,51,0.117647059,0.098039216,0.039215686,0.058823529,0.058823529
"HUM_5_85","HUM_5",0,70,0,"HUM",8.75199999999995,25,0.16,0.36,0.12,0.08,0.16
"HUM_5_95","HUM_5",0,70,0,"HUM",6.23999999999978,9,0.555555556,0.333333333,0.333333333,0.111111111,0.333333333
"HUM_5_108","HUM_5",0,70,0,"HUM",7.23500000000058,14,0.071428571,0.071428571,0.071428571,0,0
"HUM_5_118","HUM_5",0,70,0,"HUM",11.6769999999997,24,0.166666667,0.083333333,0.125,0.041666667,0.041666667
"HUM_5_121","HUM_5",0,70,0,"HUM",5.29799999999977,8,0.625,0.625,0.625,0.375,0.625
"HUM_5_122","HUM_5",0,70,0,"HUM",7.72900000000027,16,0.4375,0.4375,0.375,0.4375,0.625
"HUM_6_2","HUM_6",0,21,1,"HUM",15.163,14,0.357142857,0.214285714,0.142857143,0.071428571,0.142857143
"HUM_6_3","HUM_6",0,21,1,"HUM",42.348,109,0.155963303,0.229357798,0.155963303,0.146788991,0.220183486
"HUM_6_5","HUM_6",0,21,1,"HUM",24.061,76,0.263157895,0.289473684,0.197368421,0.118421053,0.289473684
"HUM_6_6","HUM_6",0,21,1,"HUM",20.5029999999999,77,0.441558442,0.415584416,0.311688312,0.298701299,0.324675325
"HUM_6_9","HUM_6",0,21,1,"HUM",6.61500000000001,21,0.238095238,0.571428571,0.380952381,0.333333333,0.333333333
"HUM_6_12","HUM_6",0,21,1,"HUM",5.23900000000003,11,0.090909091,0.363636364,0.636363636,0.272727273,0.545454545
"HUM_6_13","HUM_6",0,21,1,"HUM",37.1460000000002,131,0.335877863,0.267175573,0.190839695,0.13740458,0.305343511
"HUM_6_14","HUM_6",0,21,1,"HUM",10.2060000000001,43,0.395348837,0.372093023,0.302325581,0.23255814,0.441860465
"HUM_6_15","HUM_6",0,21,1,"HUM",27.1320000000001,97,0.391752577,0.371134021,0.412371134,0.319587629,0.412371134
